FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,TIME_PERIOD,OBS_VALUE
Annual,AFE,Africa Eastern and Southern,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,65.14629086
Annual,AFW,Africa Western and Central,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,58.85572155
Annual,ARB,Arab World,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.44467836
Annual,CSS,Caribbean small states,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,73.171645
Annual,CEB,Central Electricity Board (CEB),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.89678365
Annual,EAR,Early-demographic dividend,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.79624498
Annual,EAS,East Asia & Pacific,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.65951833
Annual,EAP,East Asia & Pacific (excluding high income),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.88068309
Annual,TEA,East Asia & Pacific (IDA & IBRD),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.90856436
Annual,EMU,Euro area,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,82.19200762
Annual,ECS,Europe & Central Asia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.38701832
Annual,ECA,Europe & Central Asia (excluding high income),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,74.79871528
Annual,TEC,Europe & Central Asia (IDA & IBRD),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,74.7300564
Annual,EUU,European Union,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.41145038
Annual,FCS,Fragile and conflict affected situations,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,63.37328126
Annual,HPC,Heavily indebted poor countries (HIPC),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,64.71590542
Annual,HIC,High income,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,80.15001512
Annual,IBD,IBRD only,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,74.52096995
Annual,IBT,IDA & IBRD total,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.00082092
Annual,IDB,IDA blend,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,62.46216433
Annual,IDX,IDA only,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,67.05383189
Annual,IDA,IDA total,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,65.45352231
Annual,LTE,Late-demographic dividend,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.13012054
Annual,LCN,Latin America & Caribbean,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.64352933
Annual,LAC,Latin America & Caribbean (excluding high income),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.49860133
Annual,TLA,Latin America & Caribbean (IDA & IBRD),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.56992584
Annual,LDC,Least developed countries: UN classification,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,66.51610026
Annual,LMY,Low & middle income,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.97400488
Annual,LIC,Low income,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,64.51789579
Annual,LMC,Lower middle income,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,69.59637466
Annual,MEA,Middle East and North Africa,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.08394124
Annual,MNA,Middle East & North Africa (excluding high income),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.27588499
Annual,TMN,Middle East & North Africa (IDA & IBRD),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.31945609
Annual,MIC,Middle income,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.74319387
Annual,NAC,North America,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.73282137
Annual,OED,OECD members,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,80.1615573
Annual,OSS,Other small states,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,73.56469451
Annual,PSS,Pacific island small states,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,69.2745949
Annual,PST,Post-demographic dividend,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,80.82283464
Annual,PRE,Pre-demographic dividend,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,62.16362989
Annual,SST,Small states,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.90071976
Annual,SAS,South Asia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.32476488
Annual,TSA,South Asia (IDA & IBRD),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.32476488
Annual,SSF,Sub-Saharan Africa,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,62.60291349
Annual,SSA,Sub-Saharan Africa (excluding high income),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,62.06547988
Annual,TSS,Sub-Saharan Africa (IDA & IBRD),"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,62.60291349
Annual,UMC,Upper middle income,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.1953051
Annual,WLD,World,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,73.32971628
Annual,AFG,Afghanistan,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,66.035
Annual,ALB,Albania,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,79.602
Annual,DZA,Algeria,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.261
Annual,ASM,American Samoa,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.852
Annual,AND,Andorra,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,84.041
Annual,AGO,Angola,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,64.617
Annual,ATG,Antigua and Barbuda,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.598
Annual,ARG,Argentina,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.395
Annual,ARM,Armenia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.46585366
Annual,ABW,Aruba,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.353
Annual,AUS,Australia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.05121951
Annual,AUT,Austria,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.54146341
Annual,AZE,Azerbaijan,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,74.429
Annual,BHS,"Bahamas, The","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,74.552
Annual,BHR,Bahrain,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.284
Annual,BGD,Bangladesh,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,74.672
Annual,BRB,Barbados,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.178
Annual,BLR,Belarus,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,74.18378049
Annual,BEL,Belgium,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,82.39756098
Annual,BLZ,Belize,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,73.566
Annual,BEN,Benin,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,60.774
Annual,BMU,Bermuda,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,82.309
Annual,BTN,Bhutan,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.975
Annual,BOL,Bolivia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,68.581
Annual,BIH,Bosnia and Herzegovina,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.85
Annual,BWA,Botswana,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,69.163
Annual,BRA,Brazil,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.848
Annual,VGB,British Virgin Islands,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.276
Annual,BRN,Brunei Darussalam,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.327
Annual,BGR,Bulgaria,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.70731707
Annual,BFA,Burkina Faso,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,61.092
Annual,BDI,Burundi,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,63.651
Annual,CPV,Cabo Verde,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.059
Annual,KHM,Cambodia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,70.668
Annual,CMR,Cameroon,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,63.7
Annual,CAN,Canada,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.64658537
Annual,CYM,Cayman Islands,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,80.358
Annual,CAF,Central African Republic,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,57.408
Annual,TCD,Chad,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,55.069
Annual,CHI,Channel Islands,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.1
Annual,CHL,Chile,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.167
Annual,CHN,China,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.953
Annual,COL,Colombia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.725
Annual,COM,Comoros,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,66.777
Annual,COD,"Congo, Dem. Rep.","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,61.895
Annual,COG,"Congo, Rep.","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,65.772
Annual,CRI,Costa Rica,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,80.799
Annual,CIV,Cote d'Ivoire,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,61.944
Annual,HRV,Croatia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.47317073
Annual,CUB,Cuba,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.085
Annual,CUW,Curacao,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,76.8
Annual,CYP,Cyprus,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.648
Annual,CZE,Czechia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,79.87804878
Annual,DNK,Denmark,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.85365854
Annual,DJI,Djibouti,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,65.987
Annual,DMA,Dominica,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.132
Annual,DOM,Dominican Republic,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,73.72
Annual,ECU,Ecuador,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.392
Annual,EGY,"Egypt, Arab Rep.","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.633
Annual,SLV,El Salvador,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.099
Annual,GNQ,Equatorial Guinea,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,63.707
Annual,ERI,Eritrea,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,68.624
Annual,EST,Estonia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,78.4902439
Annual,SWZ,Eswatini,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,64.123
Annual,ETH,Ethiopia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,67.315
Annual,FRO,Faroe Islands,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.14390244
Annual,FJI,Fiji,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,67.316
Annual,FIN,Finland,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.68536585
Annual,FRA,France,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,82.92926829
Annual,PYF,French Polynesia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,84.07
Annual,GAB,Gabon,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,68.337
Annual,GMB,"Gambia, The","Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,65.86
Annual,GEO,Georgia,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,74.496
Annual,DEU,Germany,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,80.54146341
Annual,GHA,Ghana,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,65.498
Annual,GIB,Gibraltar,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,83.553
Annual,GRC,Greece,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,81.53658537
Annual,GRL,Greenland,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,71.5497561
Annual,GRD,Grenada,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,75.205
Annual,GUM,Guam,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,77.209
Annual,GTM,Guatemala,"Life expectancy at birth, total (years)",Total,All age ranges or no breakdown by age,Total,Years,2023,72.602
